Preliminary Risk Category,Neighborhood,Address,City,State,Zip Code,Year Built,No. Stories,Retrofit Level,Building Use,Estimated Number of Occupants,Confirmation Source,Long/Lat
Medium Risk,Cascade/Eastlake,1814 Minor Ave,Seattle,WA,98101,1905,3,Permitted Retrofit,Residential,11-100,Permit Drawing Review,POINT (-122.330819965 47.617346015)
Medium Risk,Cascade/Eastlake,2121 Westlake Ave,Seattle,WA,98121,1925,4,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,POINT (-122.338626032 47.617448986)
Medium Risk,Cascade/Eastlake,601 Eastlake Ave E,Seattle,WA,98109,1908,4,Permitted Retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.329465031 47.624537017)
Medium Risk,Cascade/Eastlake,425 Westlake Ave N,Seattle,WA,98109,1920,2,Permitted Retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.338857037 47.622957992)
Medium Risk,Cascade/Eastlake,2132 5th Ave,Seattle,WA,98121,1922,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.341335985 47.615318013)
Medium Risk,Cascade/Eastlake,308 Bell St,Seattle,WA,98121,1916,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.344722022 47.615017983)
Medium Risk,Cascade/Eastlake,2045 Westlake Ave,Seattle,WA,98121,1909,3,Visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.338315985 47.615908979)
Critical Risk,Cascade/Eastlake,914 Virginia St,Seattle,WA,98101,0,3,Substantial Alteration,Schools,101+,Field Visit,POINT (-122.335488015 47.61697499)
Medium Risk,Cascade/Eastlake,1933 5th Ave,Seattle,WA,98101,1923,3,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,POINT (-122.339247969 47.613406981)
Medium Risk,Cascade/Eastlake,2014 4th Ave,Seattle,WA,98121,1917,4,No visible retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.340327977 47.613595993)
Medium Risk,Cascade/Eastlake,2321 4th Ave,Seattle,WA,98121,1918,4,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.344935007 47.615606979)
Medium Risk,Cascade/Eastlake,2302 4th Ave,Seattle,WA,98121,1918,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.343891041 47.615681997)
Medium Risk,Cascade/Eastlake,2602 4th Ave,Seattle,WA,98121,1923,4,Permitted Retrofit,Residential,11-100,Google Street View,POINT (-122.34702604 47.617564992)
Medium Risk,Cascade/Eastlake,603 Pontius Ave N,Seattle,WA,98109,1926,3,No visible retrofit,Residential,11-100,Field Visit,POINT (-122.332100972 47.624435009)
Medium Risk,Cascade/Eastlake,234 Fairview Ave N,Seattle,WA,98109,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.33398799 47.620688005)
Medium Risk,Cascade/Eastlake,133 Pontius Ave N,Seattle,WA,98109,1916,4,Visible retrofit,Residential,11-100,Google Street View,POINT (-122.332618973 47.619513994)
Medium Risk,Cascade/Eastlake,305 Bell St,Seattle,WA,98121,1925,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.344337964 47.614794018)
Medium Risk,Cascade/Eastlake,1925 5th Ave,Seattle,WA,98101,1928,2,No visible retrofit,Commercial/Office,11-100,Sandborn Insurance Maps,POINT (-122.339063986 47.61329898)
Medium Risk,Cascade/Eastlake,325 Westlake Ave N,Seattle,WA,98109,1927,1,Substantial Alteration,Commercial/Residential,11-100,Google Street View,POINT (-122.338863994 47.621705987)
Medium Risk,Cascade/Eastlake,2329 4th Ave,Seattle,WA,98121,1946,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.345121001 47.615714016)
Medium Risk,Cascade/Eastlake,2600 3rd Ave,Seattle,WA,98121,1911,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.34804704 47.616905001)
Medium Risk,Cascade/Eastlake,2118 3rd Ave,Seattle,WA,98121,1914,2,Permitted Retrofit,Office,11-100,Permit Drawing Review,POINT (-122.342673988 47.613807007)
Medium Risk,Cascade/Eastlake,1200 Stewart St,Seattle,WA,98101,1906,1,No visible retrofit,Commercial/Office,11-100,Google Street View,POINT (-122.331913971 47.617965018)
Medium Risk,Cascade/Eastlake,2021 4th Ave,Seattle,WA,98121,1915,5,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.341287035 47.613349984)
Medium Risk,Cascade/Eastlake,333 Westlake Ave N,Seattle,WA,98109,1923,2,Substantial Alteration,Commercial/Office,11-100,Google Street View-Rosettes,POINT (-122.338862988 47.621869979)
Medium Risk,Cascade/Eastlake,234 Dexter Ave N,Seattle,WA,98109,1933,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.341967981 47.620632014)
Medium Risk,Cascade/Eastlake,2230 4th Ave,Seattle,WA,98121,1922,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.343412015 47.615405017)
Medium Risk,Cascade/Eastlake,1114 Howell St,Seattle,WA,98101,1930,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.331087013 47.616704003)
Medium Risk,Cascade/Eastlake,2211 5th Ave,Seattle,WA,98121,1913,2,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.342414987 47.615282013)
High Risk,Cascade/Eastlake,330 5th Ave N,Seattle,WA,98109,1929,2,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.347525003 47.621216186)
Medium Risk,Cascade/Eastlake,845 Bellevue Pl E,Seattle,WA,98102,1925,3,No visible retrofit,Residential,11-100,Sandborn Insurance Maps,POINT (-122.327030004 47.627155985)
Medium Risk,Cascade/Eastlake,917 Howell St,Seattle,WA,98101,1922,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.332435996 47.615184992)
Medium Risk,Cascade/Eastlake,1809 Minor Ave,Seattle,WA,98101,1917,2,Substantial Alteration,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.331160019 47.616870006)
Medium Risk,Cascade/Eastlake,2330 3rd Ave,Seattle,WA,98121,1918,1,No visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.345640008 47.61556201)
Medium Risk,Cascade/Eastlake,228 9th Ave N,Seattle,WA,98109,1928,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.339523985 47.620405996)
Medium Risk,Cascade/Eastlake,112 5th Ave N,Seattle,WA,98109,1905,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.34732804 47.619070004)
High Risk,Cascade/Eastlake,1027 Bellevue Court E,Seattle,WA,98102,1910,4,Permitted Retrofit,Residential,11-100,Photos from Previous Surveys,POINT (-122.327453039 47.627495996)
Medium Risk,Cascade/Eastlake,2226 3rd Ave,Seattle,WA,98121,1929,2,Visible retrofit,Office,11-100,Photos from Previous Surveys,POINT (-122.344161022 47.614689999)
Medium Risk,Cascade/Eastlake,2132 3rd Ave,Seattle,WA,98121,1919,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.343068022 47.614033989)
High Risk,Cascade/Eastlake,2100 5th Ave,Seattle,WA,98121,1927,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.340410036 47.614817991)
Medium Risk,Cascade/Eastlake,320 Cedar St,Seattle,WA,98121,1908,3,Visible retrofit,Residential,101+,Google Street View,POINT (-122.348592031 47.617763014)
Medium Risk,Cascade/Eastlake,2200 4th Ave,Seattle,WA,98121,1923,1,Visible retrofit,Other Mixed Uses,11-100,Google Street View-Rosettes,POINT (-122.342603999 47.614893009)
Medium Risk,Cascade/Eastlake,2315 4th Ave,Seattle,WA,98121,1923,1,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.344754041 47.615499984)
Medium Risk,Cascade/Eastlake,314 Bell St,Seattle,WA,98121,1914,1,Permitted Retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.344552037 47.615285994)
Medium Risk,Cascade/Eastlake,1124 Eastlake Ave E,Seattle,WA,98109,1917,2,No visible retrofit,Office,11-100,Google Street View,POINT (-122.328517038 47.629391019)
Medium Risk,Cascade/Eastlake,1932 9th Ave,Seattle,WA,98101,1917,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.33532197 47.616476015)
Medium Risk,Cascade/Eastlake,415 Bell St,Seattle,WA,98121,1919,1,Substantial Alteration,Government,101+,Google Street View,POINT (-122.343147985 47.61571498)
Medium Risk,Cascade/Eastlake,2212 4th Ave,Seattle,WA,98121,1924,1,No visible retrofit,Office,11-100,Photos from Previous Surveys,POINT (-122.342928966 47.615133988)
Medium Risk,Cascade/Eastlake,513 Dexter Ave N,Seattle,WA,98109,1928,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.342781025 47.62372699)
Medium Risk,Cascade/Eastlake,2127 5th Ave,Seattle,WA,98121,1924,1,Permitted Retrofit,Office,11-100,Permit Drawing Review,POINT (-122.341670004 47.614827001)
Medium Risk,Cascade/Eastlake,900 Thomas St,Seattle,WA,98109,1920,2,Substantial Alteration,Commercial/Office,11-100,Google Street View,POINT (-122.339481992 47.621029987)
High Risk,Cascade/Eastlake,1828 Yale Ave,Seattle,WA,98101,1922,1,Permitted Retrofit,Public Assembly,101+,Google Street View,POINT (-122.330399026 47.618228)
Medium Risk,Cascade/Eastlake,133 Dexter Ave N,Seattle,WA,98109,1931,1,No visible retrofit,Office,11-100,Google Street View,POINT (-122.342816984 47.619551)
Medium Risk,Cascade/Eastlake,614 Aurora Ave N,Seattle,WA,98109,1926,1,No visible retrofit,Vacant,,Google Street View,POINT (-122.34322996 47.625156021)
Medium Risk,Cascade/Eastlake,2218 4th Ave,Seattle,WA,98121,1924,1,Permitted Retrofit,Commercial,101+,Google Street View-Rosettes,POINT (-122.343113032 47.615241989)
Medium Risk,Cascade/Eastlake,2331 7th Ave,Seattle,WA,98121,1936,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.342732997 47.617815988)
Medium Risk,Cascade/Eastlake,401 Cedar St,Seattle,WA,98121,1927,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.347583017 47.617886983)
Medium Risk,Cascade/Eastlake,227 9th Ave N,Seattle,WA,98109,1931,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.340158998 47.620542998)
Medium Risk,Cascade/Eastlake,2027 5th Ave,Seattle,WA,98121,1920,1,Permitted Retrofit,Office,11-100,Google Street View,POINT (-122.340429985 47.614089981)
Medium Risk,Cascade/Eastlake,2022 Boren Ave,Seattle,WA,98121,1929,1,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.334677988 47.618340988)
Medium Risk,Cascade/Eastlake,922 Virginia St,Seattle,WA,98101,1926,1,Permitted Retrofit,Commercial,11-100,Google Street View,POINT (-122.335336973 47.617092001)
Medium Risk,Cascade/Eastlake,2035 4th Ave,Seattle,WA,98121,1926,2,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.341407986 47.613514018)
Medium Risk,Cascade/Eastlake,427 9th Ave N,Seattle,WA,98109,1929,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.340135026 47.622796012)
Medium Risk,Cascade/Eastlake,117 Yale Ave N,Seattle,WA,98109,1927,2,No visible retrofit,Commercial,11-100,White Card Permit Records,POINT (-122.330785013 47.619146992)
Medium Risk,Cascade/Eastlake,433 Eastlake Ave E,Seattle,WA,98109,1918,2,No visible retrofit,Commercial,101+,Field Visit,POINT (-122.329539965 47.622965997)
Medium Risk,Cascade/Eastlake,508 Denny Way,Seattle,WA,98109,1919,1,No visible retrofit,Commercial,11-100,Photos from Previous Surveys,POINT (-122.347235001 47.618835018)
Medium Risk,Cascade/Eastlake,310 Terry Ave N,Seattle,WA,98109,1915,2,Substantial Alteration,Commercial,101+,Permit Drawing Review,POINT (-122.336766004 47.62153902)
Medium Risk,Cascade/Eastlake,1255 Westlake Ave N,Seattle,WA,98109,1920,2,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.341359035 47.631315001)
Medium Risk,Cascade/Eastlake,1265 Republican St,Seattle,WA,98109,1906,2,Substantial Alteration,Commercial,101+,Field Visit,POINT (-122.330756012 47.622834988)
Medium Risk,Cedar Park/Meadowbrook,10228 Fisher Pl NE,Seattle,WA,98125,1929,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.300878969 47.702788998)
Medium Risk,Cedar Park/Meadowbrook,14001 Lake City Way NE,Seattle,WA,98125,1924,1,No visible retrofit,Commercial,1-10,Field Visit,POINT (-122.292667973 47.730364999)
Critical Risk,Central Area/Squire Park,400 23rd Ave,Seattle,WA,98122,1923,3,Substantial Alteration,Schools,101+,Sandborn Insurance Maps,POINT (-122.301857975 47.605000016)
Medium Risk,Central Area/Squire Park,820 18th Ave,Seattle,WA,98122,1904,2,No visible retrofit,Residential,1-10,Google Street View,POINT (-122.308353028 47.610113983)
Medium Risk,Central Area/Squire Park,1810 15th Ave,Seattle,WA,98122,1925,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.312405008 47.618044018)
High Risk,Central Area/Squire Park,800 18th Ave,Seattle,WA,98122,1901,2,No visible retrofit,Public Assembly,101+,Field Visit,POINT (-122.30878337 47.609356165)
Medium Risk,Central Area/Squire Park,117 18th Ave,Seattle,WA,98122,1907,3,Permitted Retrofit,Residential,11-100,Google Street View-Rosettes,POINT (-122.309319965 47.602210016)
Critical Risk,Central Area/Squire Park,172 20th Ave,Seattle,WA,98122,1920,3,Visible retrofit,Schools,101+,Field Visit,POINT (-122.305954966 47.60330398)
Critical Risk,Central Area/Squire Park,2410 E Cherry St,Seattle,WA,98122,1902,3,Substantial Alteration,Schools,101+,Permit Drawing Review,POINT (-122.30092398 47.60840902)
Medium Risk,Central Area/Squire Park,1101 17th Ave,Seattle,WA,98122,1928,4,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.310570964 47.611710987)
Critical Risk,Central Area/Squire Park,810 18th Ave,Seattle,WA,98122,1904,3,Permitted Retrofit,Schools,101+,Permit Drawing Review,POINT (-122.308536005 47.609623013)
Medium Risk,Central Area/Squire Park,1621 17th Ave,Seattle,WA,98122,1924,3,No visible retrofit,Residential,11-100,Google Street View,POINT (-122.310524025 47.615974987)
Medium Risk,Central Area/Squire Park,722 18th Ave,Seattle,WA,98122,1908,2,No visible retrofit,Government,101+,Google Street View,POINT (-122.308571042 47.608777991)
Medium Risk,Central Area/Squire Park,2300 E Yesler Way,Seattle,WA,98122,1913,1,Substantial Alteration,Public Assembly,11-100,Permit Drawing Review,POINT (-122.301850013 47.601946992)
Critical Risk,Central Area/Squire Park,1424 15th Ave,Seattle,WA,98122,1924,2,Permitted Retrofit,Schools,101+,Photos from Previous Surveys,POINT (-122.311865968 47.613169983)
Critical Risk,Central Area/Squire Park,1700 E Jefferson St,Seattle,WA,98122,1910,1,No visible retrofit,Emergency,11-100,Field Visit,POINT (-122.310178286 47.606222392)
Medium Risk,Central Area/Squire Park,1412 18th Ave,Seattle,WA,98122,1928,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.308607 47.61319098)
Medium Risk,Central Area/Squire Park,120 23rd Ave E,Seattle,WA,98112,1923,3,Visible retrofit,Other Mixed Uses,11-100,Google Street View-Rosettes,POINT (-122.302272041 47.619593999)
Medium Risk,Central Area/Squire Park,1658 20th Ave,Seattle,WA,98122,1919,1,Substantial Alteration,Office,11-100,Google Street View,POINT (-122.305876008 47.616864013)
Medium Risk,Central Area/Squire Park,2002 E Union St,Seattle,WA,98122,1908,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.305984973 47.613121996)
Medium Risk,Central Area/Squire Park,806 20th Ave,Seattle,WA,98122,1910,1,No visible retrofit,Public Assembly,11-100,Permit Drawing Review,POINT (-122.305940968 47.609284007)
High Risk,Central Area/Squire Park,1631 16th Ave,Seattle,WA,98122,1929,4,No visible retrofit,Residential,101+,Google Street View,POINT (-122.311872003 47.616132986)
Critical Risk,Central Area/Squire Park,2306 E Cherry St,Seattle,WA,98122,1929,1,Substantial Alteration,Schools,11-100,Google Street View,POINT (-122.302512015 47.608188995)
Medium Risk,Central Area/Squire Park,2300 E Spruce St,Seattle,WA,98122,1907,1,No visible retrofit,Public Assembly,11-100,Field Visit,POINT (-122.302041036 47.60333801)
Medium Risk,Central Area/Squire Park,2018 E Union St,Seattle,WA,98122,1930,1,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.305254993 47.613212982)
Medium Risk,Central Area/Squire Park,1841 16th Ave,Seattle,WA,98122,1906,4,Substantial Alteration,Residential,11-100,Permit Drawing Review,POINT (-122.311757003 47.618154994)
Medium Risk,Columbia City,5609 Rainier Ave S,Seattle,WA,98118,1920,2,No visible retrofit,Residential,1-10,Field Visit,POINT (-122.27825001 47.55166802)
Medium Risk,Columbia City,4869 Rainier Ave S,Seattle,WA,98118,1928,1,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.285507984 47.558089983)
Medium Risk,Columbia City,6315 Rainier Ave S,Seattle,WA,98118,1921,2,No visible retrofit,Industrial,1-10,Google Street View,POINT (-122.275931995 47.545483013)
Medium Risk,Columbia City,5020 Rainier Ave S,Seattle,WA,98118,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.283739989 47.556430994)
Medium Risk,Columbia City,3808 S Edmunds St,Seattle,WA,98118,1925,1,Substantial Alteration,Commercial,11-100,Permit Drawing Review,POINT (-122.285009009 47.558830021)
Medium Risk,Columbia City,4918 Rainier Ave S,Seattle,WA,98118,1920,1,Substantial Alteration,Commercial,11-100,Field Visit,POINT (-122.284430993 47.557205985)
Critical Risk,Columbia City,4200 S Mead St,Seattle,WA,98118,1912,2,Permitted Retrofit,Schools,101+,Field Visit,POINT (-122.279927983 47.550644003)
Medium Risk,Columbia City,4243 Rainier Ave S,Seattle,WA,98118,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.288577018 47.564403986)
High Risk,Columbia City,4721 Rainier Ave S,Seattle,WA,98118,1914,1,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.286946989 47.559877004)
Medium Risk,Columbia City,4850 Rainier Ave S,Seattle,WA,98118,1907,3,No visible retrofit,Commercial/Residential,101+,Field Visit,POINT (-122.285019989 47.558505012)
Medium Risk,Columbia City,4860 Rainier Ave S,Seattle,WA,98118,1909,2,Permitted Retrofit,Commercial/Office,11-100,Field Visit,POINT (-122.284890992 47.558346008)
Medium Risk,Columbia City,4873 Rainier Ave S,Seattle,WA,98118,1908,2,No visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.28554696 47.557996985)
Medium Risk,Columbia City,4820 Rainier Ave S,Seattle,WA,98118,1920,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.28523004 47.558844019)
Medium Risk,Columbia City,5619 Rainier Ave S,Seattle,WA,98118,1907,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.278128975 47.551329014)
Medium Risk,Columbia City,4909 Rainier Ave S,Seattle,WA,98118,1906,2,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.285243032 47.557543985)
Medium Risk,Columbia City,4901 Rainier Ave S,Seattle,WA,98118,1913,1,No visible retrofit,Commercial,11-100,Permit Drawing Review,POINT (-122.285256024 47.557687986)
Medium Risk,Columbia City,4868 Rainier Ave S,Seattle,WA,98118,1908,1,Permitted Retrofit,Commercial,11-100,Field Visit,POINT (-122.284862996 47.558062993)
Medium Risk,Columbia City,4900 Rainier Ave S,Seattle,WA,98118,1901,3,Permitted Retrofit,Commercial/Residential,11-100,Permit Drawing Review,POINT (-122.284644983 47.557700014)
Medium Risk,Columbia City,5718 Rainier Ave S,Seattle,WA,98118,1919,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.277064976 47.550738006)
Medium Risk,Columbia City,5710 Rainier Ave S,Seattle,WA,98118,1920,2,No visible retrofit,Commercial,11-100,Field Visit,POINT (-122.277193974 47.550933011)
Medium Risk,Columbia City,3806 S Ferdinand St,Seattle,WA,98118,1921,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.284560996 47.55808202)
Medium Risk,Columbia City,5600 Rainier Ave S,Seattle,WA,98118,1926,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.27764601 47.551789013)
Medium Risk,Columbia City,5701 Rainier Ave S,Seattle,WA,98118,1924,2,Permitted Retrofit,Commercial,101+,Google Street View,POINT (-122.277881039 47.550985984)
High Risk,Columbia City,3804 S Hudson St,Seattle,WA,98118,1920,1,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.284262014 47.557278991)
Medium Risk,Columbia City,5021 Rainier Ave S,Seattle,WA,98118,1924,1,No visible retrofit,Commercial,11-100,Google Street View,POINT (-122.284551022 47.556420014)
Medium Risk,Columbia City,5000 Rainier Ave S,Seattle,WA,98118,1910,1,No visible retrofit,Commercial,101+,Google Street View,POINT (-122.28398298 47.556756003)
Medium Risk,Columbia City,5607 Rainier Ave S,Seattle,WA,98118,1915,2,No visible retrofit,Commercial/Residential,11-100,Field Visit,POINT (-122.27825001 47.55166802)
High Risk,Downtown,811 1st Ave,Seattle,WA,98104,1900,6,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.335599997 47.603485993)
High Risk,Downtown,1008 Western Ave,Seattle,WA,98104,1905,6,Visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.337400011 47.604711008)
Medium Risk,Downtown,509 3rd Ave,Seattle,WA,98104,1908,7,Substantial Alteration,Other Mixed Uses,101+,Photos from Previous Surveys,POINT (-122.331361017 47.602205992)
Medium Risk,Downtown,115 Cherry St,Seattle,WA,98104,1900,7,No visible retrofit,Commercial/Office,101+,Photos from Previous Surveys,POINT (-122.333326993 47.602670015)
High Risk,Downtown,606 1st Ave,Seattle,WA,98104,1892,6,Permitted Retrofit,Public Assembly,101+,Field Visit,POINT (-122.333494966 47.602195012)
Medium Risk,Downtown,1221 2nd Ave,Seattle,WA,98101,1906,6,Visible retrofit,Commercial/Office,101+,Google Street View-Rosettes,POINT (-122.337112009 47.606805017)
Medium Risk,Downtown,110 Union St,Seattle,WA,98101,1910,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.338975976 47.608184008)
High Risk,Downtown,1007 1st Ave,Seattle,WA,98104,1901,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,POINT (-122.336785031 47.604772992)
Medium Risk,Downtown,1119 1st Ave,Seattle,WA,98101,1892,5,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.337688013 47.605770984)
Medium Risk,Downtown,216 James St,Seattle,WA,98104,1910,7,Visible retrofit,Other Mixed Uses,101+,Google Street View,POINT (-122.33195102 47.602846999)
Medium Risk,Downtown,1516 2nd Ave,Seattle,WA,98101,1906,4,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.339015036 47.609925013)
High Risk,Downtown,1015 1st Ave,Seattle,WA,98104,1901,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,POINT (-122.33702601 47.60505102)
High Risk,Downtown,810 4th Ave,Seattle,WA,98104,1907,6,No visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.331625969 47.60527599)
High Risk,Downtown,605 1st Ave,Seattle,WA,98104,1900,6,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.334518983 47.601976999)
High Risk,Downtown,83 Columbia St,Seattle,WA,98104,1914,4,No visible retrofit,Commercial/Office,101+,Sandborn Insurance Maps,POINT (-122.335576025 47.602722988)
Medium Risk,Downtown,1600 1st Ave,Seattle,WA,98101,1909,6,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.340750006 47.610121988)
High Risk,Downtown,1414 Alaskan Way,Seattle,WA,98101,1909,4,Visible retrofit,Commercial/Office,101+,Google Street View,POINT (-122.340934995 47.607651003)
Medium Risk,Downtown,107 Pine St,Seattle,WA,98101,1900,4,Substantial Alteration,Commercial/Residential,101+,Google Street View,POINT (-122.340386986 47.609733989)
Medium Risk,Downtown,524 2nd Ave,Seattle,WA,98104,1900,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.332028971 47.602275981)
High Risk,Downtown,1423 1st Ave,Seattle,WA,98101,1900,2,Substantial Alteration,Public Assembly,101+,Permit Drawing Review,POINT (-122.340157992 47.608474986)
Medium Risk,Downtown,1513 1st Ave,Seattle,WA,98101,1942,4,Substantial Alteration,Commercial/Residential,101+,Permit Drawing Review,POINT (-122.340807003 47.609178018)
Medium Risk,Downtown,811 5th Ave,Seattle,WA,98104,1902,5,Substantial Alteration,Public Assembly,11-100,Permit Drawing Review,POINT (-122.331309972 47.605479)
Medium Risk,Downtown,1018 1st Ave,Seattle,WA,98104,1890,5,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.336417987 47.605403018)
Medium Risk,Downtown,606 2nd Ave,Seattle,WA,98104,1900,6,Permitted Retrofit,Commercial/Residential,11-100,Photos from Previous Surveys,POINT (-122.332441026 47.602735016)
High Risk,Downtown,1023 1st Ave,Seattle,WA,98104,1901,6,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,POINT (-122.33702601 47.60505102)
Medium Risk,Downtown,1520 4th Ave,Seattle,WA,98101,1907,6,No visible retrofit,Commercial/Office,101+,Permit Drawing Review,POINT (-122.336661984 47.610867013)
Medium Risk,Downtown,1216 1st Ave,Seattle,WA,98101,1900,4,No visible retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.337711985 47.606805981)
Medium Risk,Downtown,1012 1st Ave,Seattle,WA,98104,1900,5,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,POINT (-122.336297036 47.605260987)
Medium Risk,Downtown,1400 Western Ave,Seattle,WA,98101,1915,4,Visible retrofit,Commercial/Residential,101+,Google Street View-Rosettes,POINT (-122.340038969 47.607647985)
Medium Risk,Downtown,1201 2nd Ave,Seattle,WA,98101,1900,2,Visible retrofit,Commercial/Office,101+,Google Street View-Rosettes,POINT (-122.337112009 47.606805017)
High Risk,Downtown,1507 Western Ave,Seattle,WA,98101,1910,6,No visible retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.341583 47.608504993)
Medium Risk,Downtown,616 1st Ave,Seattle,WA,98104,1902,7,Substantial Alteration,Commercial/Office,101+,Field Visit,POINT (-122.333734018 47.602462018)
High Risk,Downtown,1413 3rd Ave,Seattle,WA,98101,1907,3,Visible retrofit,Public Assembly,101+,Google Street View-Rosettes,POINT (-122.337617018 47.60904001)
High Risk,Downtown,1426 1st Ave,Seattle,WA,98101,1916,2,Visible retrofit,Public Assembly,101+,Google Street View,POINT (-122.339220979 47.608465011)
Medium Risk,Downtown,614 1st Ave,Seattle,WA,98104,1902,3,Visible retrofit,Commercial/Office,101+,Field Visit,POINT (-122.333654977 47.602376019)
Medium Risk,Downtown,121 Stewart St,Seattle,WA,98101,1914,2,Permitted Retrofit,Commercial/Office,101+,Google Street View,POINT (-122.340550014 47.610592003)
Medium Risk,Downtown,619 3rd Ave,Seattle,WA,98104,1911,6,Permitted Retrofit,Commercial/Residential,101+,Google Street View,POINT (-122.332065013 47.603182987)
Medium Risk,Downtown,103 Pike St,Seattle,WA,98101,1910,3,Substantial Alteration,Commercial/Residential,101+,Google Street View,POINT (-122.339542006 47.608816003)
Medium Risk,Downtown,1416 3rd Ave,Seattle,WA,98101,1902,3,Substantial Alteration,Commercial/Office,101+,Permit Drawing Review,POINT (-122.336836999 47.609192979)
Medium Risk,Downtown,521 3rd Ave,Seattle,WA,98104,1900,4,No visible retrofit,Commercial/Residential,101+,Photos from Previous Surveys,POINT (-122.331577019 47.602490013)
Medium Risk,Downtown,600 Western Ave,Seattle,WA,98104,1913,3,Permitted Retrofit,Commercial/Residential,11-100,Google Street View,POINT (-122.335161037 47.601976999)
